"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.283052901214045e+03, -9.105216157040937e+00, -1.797498338579662e+00, 9.005775062021838e-03, 0.000000000000000e+00, 0.000000000000000e+00, -2.134905906102855e+01
1, 9.990000128750000e-01, -1.452537504052920e-04, 6.560828020100811e+02, -4.446360531118937e+00, -6.937742683084250e-01, 3.930947545699818e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.856412592512788e+00
2, 9.977599978450000e-01, -3.251111630156300e-04, 5.153139407872201e+02, -3.398586433530367e+00, -5.830848763406721e-01, 2.698644636774340e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.817447762896726e+00
3, 9.960200190539999e-01, -5.769983605901485e-04, 4.191379590142377e+02, -2.746548142467271e+00, -5.159173313961275e-01, 2.035828076779711e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.063230384064806e+00
4, 9.937800168990000e-01, -9.004365425509819e-04, 3.606114991995094e+02, -2.350585018832394e+00, -4.693787669343985e-01, 1.647249362455102e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.406233195007113e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, 3.189643777373299e+02, -2.072584355354448e+00, -4.324876387122731e-01, 1.400568296384791e-03, 0.000000000000000e+00, 0.000000000000000e+00, 4.302022221567975e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, 2.869840649781004e+02, -1.860277592414878e+00, -4.003696558119967e-01, 1.224381046787348e-03, 0.000000000000000e+00, 0.000000000000000e+00, 3.143961763026500e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, 2.616977113420837e+02, -1.692873510130597e+00, -3.733466848683302e-01, 1.092870528274143e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.401847744423561e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, 2.413912323743394e+02, -1.557807375616835e+00, -3.507157124243772e-01, 9.905762455461745e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.900470543744987e-01
9, 9.752799868580000e-01, -3.536324145770189e-03, 2.248450467356652e+02, -1.447101936491731e+00, -3.316857026585681e-01, 9.092419269621704e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.540759563824618e-01
