"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.694362382576139e+00, 2.645046825960930e+02, 3.842079181459030e+01, 3.806792492777614e+05
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.514860981324641e+00, 2.626566355632086e+02, 3.811547120616416e+01, 3.416076877425336e+05
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.498920830505027e+00, 2.828210427867760e+02, 4.097540740174201e+01, 3.392235161229027e+05
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.475675141559262e+00, 2.921826129809212e+02, 4.223640137666776e+01, 3.347373263281626e+05
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.458110527744600e+00, 2.973953363830404e+02, 4.286582486076662e+01, 3.312614425926346e+05
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.445583162725214e+00, 3.022219028229800e+02, 4.340854484450907e+01, 3.288586852279001e+05
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.434040059151455e+00, 3.058112441702468e+02, 4.374231326925393e+01, 3.266007480341874e+05
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.423844417974541e+00, 3.089793378018410e+02, 4.398621771219244e+01, 3.246119373853676e+05
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.414446359950736e+00, 3.117547803600391e+02, 4.414384094082896e+01, 3.227741839261376e+05
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.405690908539241e+00, 3.142456237347167e+02, 4.423296017027599e+01, 3.210598176870399e+05
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.397440840593803e+00, 3.165075010638042e+02, 4.426106456281490e+01, 3.194420925976210e+05
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.389593163384921e+00, 3.185821572984059e+02, 4.423622116057739e+01, 3.179010157339732e+05
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.382090976288007e+00, 3.205041687868603e+02, 4.416350848544047e+01, 3.164261680762758e+05
